74,27
41,38
84,14
19,84
22,79
23,66
44,67
74,10
92,82
94,55
42,53
78,75
13,71
51,2
80,28
77,84
43,62
86,82
89,44
47,66
16,86
94,100
7,18
43,77
51,57
55,57
9,61
74,77
84,27
80,16
24,6
97,83
94,46
67,13
94,20
17,40
72,75
13,62
32,4
18,44
78,3
1,57
61,89
62,60
55,18
40,27
54,28
37,48
82,31
55,26
16,97
29,41
39,58
58,43
1,52
69,31
8,52
32,100
24,49
11,80
58,10
14,59
55,8
75,35
72,42
67,77
49,64
3,93
92,40
55,100
43,59
78,67
62,57
50,97
48,80
15,29
66,15
63,90
71,24
34,71
99,18
35,11
66,13
31,96
67,40
80,52
30,33
99,6
95,5
64,65
83,51
84,27
90,71
70,37
86,69
13,98
71,43
50,64
67,8
89,86
85,26
91,12
98,2
75,45
80,17
49,95
43,46
57,38
42,72
56,94
32,94
15,15
5,82
33,75
63,56
90,67
17,90
89,28
95,78
62,49
8,19
75,21
41,45
58,34
31,57
69,29
5,57
1,62
72,2
91,77
68,38
36,3
12,77
33,55
65,64
45,44
95,73
51,39
70,76
47,23
24,78
40,49
37,100
48,51
88,95
53,97
73,74
61,98
41,34
61,53
40,89
14,15
66,18
9,90
48,78
25,29
86,88
78,19
52,36
33,58
86,57
39,28
29,96
80,28
56,37
42,55
75,29
3,59
48,63
8,74
20,80
54,92
96,66
31,46
57,76
23,51
57,53
49,9
62,28
21,9
42,47
20,53
96,47
91,18
33,43
25,62
61,86
44,56
63,100
71,79
26,34
37,98
66,25
50,93
86,49
17,73
42,47
30,26
37,89
74,2
10,42
87,10
53,32
26,85
50,99
49,9
69,100
69,31
68,68
27,51
66,72
78,29
97,93
77,66
88,25
8,13
3,20
99,83
87,38
4,79
45,89
93,85
43,91
31,30
84,31
75,28
18,21
86,75
26,77
20,2
75,60
33,25
42,42
65,33
15,3
18,91
61,72
53,47
53,51
45,63
9,24
72,39
14,48
100,48
45,24
77,30
27,50
37,21
94,34
41,15
16,24
36,15
65,56
99,61
25,92
29,2
7,78
67,97
70,60
43,88
23,53
25,77
8,58
65,60
88,79
58,98
59,69
3,24
21,27
67,22
100,89
69,87
83,85
83,2
82,43
10,20
51,44
43,32
62,46
48,36
58,38
5,81
41,74
94,67
62,79
3,68
30,100
27,83
20,58
2,5
66,35
78,62
90,54
77,58
21,88
18,32
48,73
89,5
44,30
24,74
36,15
9,91
86,55
42,4
23,68
77,78
82,56
76,95
55,89
8,16
45,77
91,36
64,79
99,97
65,74
91,26
66,48
81,88
6,58
30,11
63,39
95,10
53,24
37,64
26,20
87,29
77,52
39,59
93,80
55,26
24,38
79,16
44,93
17,91
57,71
3,13
16,87
37,69
89,89
39,39
60,16
84,54
91,59
70,47
68,37
68,63
1,10
74,34
38,50
43,79
14,100
6,36
31,57
55,78
92,1
28,14
24,23
96,39
45,56
17,3
79,1
11,49
20,82
41,62
33,23
19,45
15,62
65,69
71,52
44,66
19,85
83,47
19,52
14,38
37,76
10,47
22,40
20,8
97,9
61,58
81,33
23,76
50,73
2,93
41,20
33,72
78,76
80,52
44,99
8,78
1,47
31,99
79,22
59,83
39,52
69,68
32,26
40,89
96,41
64,10
80,26
14,33
74,85
68,39
84,60
19,69
70,68
39,91
25,64
95,50
8,3
52,78
45,13
65,31
37,85
67,65
52,81
43,28
53,27
57,38
98,52
22,51
76,97
18,59
69,13
60,74
78,2
17,50
53,11
80,99
26,87
7,39
58,61
87,98
36,3
45,87
26,22
78,21
63,80
33,95
53,77
56,75
63,48
1,35
22,62
94,100
25,89
85,43
61,70
30,70
98,65
95,40
45,42
35,75
35,6
58,99
33,85
53,92
5,30
53,16
16,9
99,91
58,71
47,8
74,21
42,17
45,5
59,52
6,17
96,20
24,58
39,43
44,19
87,17
97,68
74,99
86,48
30,79
15,3
35,4
44,85
29,18
32,70
45,22
1,34
98,73
46,70
47,59
78,58
40,15
39,18
2,67
4,28
28,69
79,7
64,93
84,2
71,46
74,1
33,28
23,81
53,17
9,92
29,27
84,15
66,66
91,92
75,35
38,39
16,36
73,93
94,93
76,97
50,68
17,98
35,1
56,3
48,53
80,9
20,3
69,8
21,45
21,37
88,81
69,4
35,53
7,51
1,51
63,76
20,17
75,61
52,5
6,22
64,44
97,29
1,55
85,28
27,73
89,74
17,52
33,76
81,80
39,89
69,90
54,30
13,81
89,49
35,4
12,56
45,71
22,56
57,64
65,51
18,13
51,63
51,16
21,81
94,8
15,69
87,8
23,32
22,95
71,28
24,30
39,93
42,25
72,37
61,48
92,49
6,78
10,64
20,93
13,94
33,90
9,61
81,4
86,80
63,31
38,32
99,98
73,63
60,47
75,57
15,20
71,15
72,75
40,64
14,59
86,51
27,37
74,22
89,6
86,97
72,75
92,2
28,6
81,80
75,40
39,48
97,73
77,36
100,41
87,37
64,2
39,72
39,29
70,4
18,21
43,63
20,32
57,61
99,93
64,7
98,89
12,42
14,25
59,97
2,40
77,29
77,94
40,46
14,39
89,63
4,55
50,6
88,8
39,39
9,83
5,13
26,21
